Pardavejo: KN-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1823834 rastas komplektas: A0008300720, kiekis 1 vnt. Saskaitos komplektiskumas: 0.666666666666667.
Kitos saskaitoje esancios detales:
Sakatoje AKU-1823753 rastas komplektas: A0079901401, kiekis 2 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
780216; 303305; 2; vnt.; 
787342; A0079901301; 2; vnt.; 
794868; A0079901301; 2; vnt.; 
835921; N000000007630; 1; vnt.; 
871047; N000000007028; 4; vnt.; 
919776; 21-02-00-0814; 1; vnt.; 
936102; TEGL5FUCHS; 10; l.; 
937016; 10443; 1; vnt.; 
937243; 35331; 1; vnt.; 
947986; 070.670-00A; 1; vnt.; 
950057; A0059906104; 5; vnt.; 
950399; 35331; 1; vnt.; 
953877; C22S1000; 1; vnt.; 
954725; 4455; 1; vnt.; 
954726; 8009; 1; vnt.; 
954727; A0059906104; 1; vnt.; 
954804; A0149974346; 1; vnt.; 
954812; 8008; 1; vnt.; 
954895; A3523530073; 2; vnt.; 
954903; 60171616; 1; vnt.; 
955162; 08-03-99-0050; 2; vnt.; 
955167; N910105014004; 4; vnt.; 
955171; 51245; 1; vnt.; 
955179; 405477; 3; vnt.; 
955218; 125468; 2; vnt.; 
955290; 6491; 4; vnt.; 
955313; 2530000; 1; vnt.; 
955314; N308765024014; 1; vnt.; 
955484; 4516; 1; vnt.; 
955537; 26351240; 18; vnt.; 
955582; 7498; 1; vnt.; 
955583; VIELKAI; 1; vnt.; 
956311; RE956311; 1; vnt.; 
956482; 303305; 2; vnt.; 
956597; 303305; 1; vnt.; 
956618; SUN1; 9; l.; 
956619; TEGL5FUCHS; 12; l.; 
957267; A6563340115; 1; vnt.; 
958512; A6563340115; 1; vnt.; 

Sakatoje AKU-1821516 rastas komplektas: A5411800209, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
772771; 1322426A; 1; vnt.; 
802332; 1322924A; 1; vnt.; 
866399; 10C; 1; vnt.; 
927718; 13-05-01-0017; 1; vnt.; 
933880; 13-05-01-0017; 1; vnt.; 
933899; 16-03-01-0066; 1; vnt.; 
935438; 13-05-01-0144; 2; vnt.; 
936499; A0019937296; 1; vnt.; 
940466; 13-05-01-0904; 1; vnt.; 
940924; 13440TTT; 1; kompl.; 
941956; 13440TTT; 1; kompl.; 
945883; A5412003070; 1; vnt.; 
945884; 28245; 1; vnt.; 
945886; AL24; 2; vnt.; 
945887; HX15; 1; vnt.; 
945888; LA 42/1 ; 1; vnt.; 
945890; A5410900151; 1; vnt.; 
945974; K09-009; 4; vnt.; 
945986; L6423; 2; vnt.; 
946002; TE10W40MOBILPS; 32; l.; 
946004; W19P; 2; vnt.; 
946007; TE75W90GL5FUCHS; 14; l.; 
946093; LT160; 1; vnt.; 
946116; 122548; 5; vnt.; 
946119; L5627; 2; vnt.; 
946120; L7511; 4; vnt.; 
946198; 97330; 2; vnt.; 
946199; 046.784-00A; 1; kompl.; 
946200; 7447; 4; vnt.; 
946201; 4359; 2; vnt.; 
946203; W83/699; 1; vnt.; 
946204; L7511; 2; vnt.; 
946211; 97608; 2; vnt.; 
946212; 4375; 2; vnt.; 
946213; 7463; 4; vnt.; 
946216; L7510LTS; 1; vnt.; 
946238; 1526806; 1; vnt.; 
946239; 10C; 1; vnt.; 
946242; VIELKAI; 2; vnt.; 
946245; 466115; 0.4; m.; 
946303; TE75W90GL5FUCHS; 14; l.; 
946305; TE10W40MOBILPS; 6; l.; 

Sakatoje AKU-1821682 rastas komplektas: 14-04-02-0154, kiekis 2 vnt. Saskaitos komplektiskumas: 0.5.
Kitos saskaitoje esancios detales:
947626; 720469; 1; vnt.; Analogas detalei A0025402381

