607782;AKU-1822263;A94388505267354;Pr. bamperio virðutinis laiptelis. pilkas;1;vnt.;1.00 vnt.;VL-Real;96.9;
608270;AKU-1823051;A5419900300;Ásiurbimo kolektoriaus varþt I-eilë nuo turbinos (naudotas);1;vnt.;1.00 vnt.;KL-Real;4.5;
608392;AKU-1823783;A9435450404;Blokiruotës jungtukas (naudotas);1;vnt.;1.00 vnt.;SL-Serv;37.2;
610403;AKU-1822287;A90669012829B51;Apdaila d.p;1;vnt.;1.00 vnt.;KN-Real;17.36;
612048;AKU-1823617;18885;Antgalis skersinës vairo traukës FEBI;1;vnt.;1.00 vnt.;SL-Serv;17.98;
613079;AKU-1823576;SW8;Sàvarþa MINI W1 14x16/9mm;2;vnt.;2.00 vnt.;SL-Serv;1.37;
616632;AKU-1821880;422159;Þibintas pr. k.p. MP3 1EH009513011 HELLA;1;vnt.;1.00 vnt.;KN-Real;182.2;
616849;AKU-1821663;1734023;Reguliatorius auton ðildytuvo (naudotas);1;vnt.;1.00 vnt.;KL-Real;57;
617554;AKU-1822365;A9438200156;Prieðrûkinis þibintas D;1;vnt.;1.00 vnt.;VL-Serv;104.34;
617634;AKU-1822476;A9305010182;Auðin sistem þarna iðsiplëtimo bakelis - vandens pompa (naudota);1;vnt.;1.00 vnt.;KL-Real;7.62;
619973;AKU-1821521;A9437500009;Kapotas Þalias (naudotas);1;vnt.;1.00 vnt.;KL-Real;65;
620690;AKU-1822940;1687408;Resiveris  (naudotas);1;vnt.;1.00 vnt.;KL-Serv;90;
620921;AKU-1823290;1322387A;Kuro vamzdelis 5x1.5 JUODAS;0.7;m.;0.70 m.;VL-Serv;2.33;
626204;AKU-1822992;A9608201021;Posûkio þibintas pr. k.p. sparne MP4;1;vnt.;1.00 vnt.;SL-Real;30.5;
627181;AKU-1823144;409111;Verþlë M10x1.25 934-10c;2;vnt.;2.00 vnt.;KL-Serv;0.43;
627701;AKU-1822815;001 AS 18750 000;Pusþiedþiø kompl. (2vnt) 2.15mm MAHLE;1;vnt.;1.00 vnt.;VL-Serv;7.88;
627808;AKU-1823422;A9734603731;Vairo tvirtinimo kronðteinas AT (naudotas);1;vnt.;1.00 vnt.;VL-Real;150;
627935;AKU-1821928;A0003504303;Reduktorius HL6 43:12 i-3.583 AT-41(naudotas);1;vnt.;1.00 vnt.;VL-Real;1404.96;
638632;AKU-1823562;A9463560226;Verþlë stebulës G (naudota);1;vnt.;1.00 vnt.;KN-Serv;3;
